Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
18,Female,North America,9338,Retail/Service,Rarely,82,"Formal, Sporty",Blogs,Occasionally,"Sustainability, Story value, Unique pieces",Authenticity,3,Definitely,No,4,5,Very interested,105,"Loyalty points, Easy returns, Quality vetting, Hygiene guarantee"
18,Female,Other,2630,Other,Monthly,58,Vintage,"Blogs, Instagram, Pinterest",Occasionally,"Unique pieces, Sustainability",Hygiene,2,Definitely,Maybe if anonymised,3,3,Somewhat,33,"Stylist chat, Easy returns"
36,Male,Asia,11410,Creative,Quarterly,10,"Vintage, Streetwear, Boho",IRL friends,Yes,"Unique pieces, Affordability","Authenticity, Hygiene, None",1,No,Maybe if anonymised,4,3,Somewhat,24,"Loyalty points, Easy returns, Stylist chat"
22,Female,North America,4514,Professional,Rarely,181,"Minimalist, Vintage","Instagram, Blogs, YouTube",Occasionally,"Affordability, Sustainability","None, Sizing fit, Hygiene",3,Definitely,Maybe if anonymised,5,4,Somewhat,49,"Loyalty points, Stylist chat, Hygiene guarantee, Easy returns"
33,Female,North America,5091,Other,Monthly,219,"Vintage, Sporty, Streetwear","Blogs, TikTok, YouTube",Yes,"Story value, Affordability, Unique pieces",Authenticity,5,Maybe,Yes,4,4,Somewhat,49,"Stylist chat, Easy returns, Quality vetting, Hygiene guarantee"
36,Male,Middle East,5763,Retail/Service,Weekly,25,Streetwear,"YouTube, Instagram",Occasionally,"Brand access, Affordability, Sustainability","Hygiene, Sizing fit",3,Maybe,Yes,3,4,Not interested,5,"Quality vetting, Hygiene guarantee, Loyalty points"
18,Male,Europe,8668,Creative,Weekly,44,"Boho, Minimalist, Vintage",Pinterest,Yes,"Story value, Sustainability","Authenticity, Hygiene",4,Definitely,Maybe if anonymised,2,5,Not interested,45,"Easy returns, Stylist chat, Loyalty points"
38,Female,North America,7579,Professional,Quarterly,10,"Formal, Vintage, Sporty","IRL friends, TikTok, YouTube",Yes,Sustainability,Shipping hassle,3,Definitely,No,3,3,Somewhat,23,Hygiene guarantee
29,Male,Asia,7459,Professional,Quarterly,193,"Sporty, Minimalist","TikTok, Blogs, YouTube",No,"Unique pieces, Story value, Brand access",Shipping hassle,4,Definitely,No,5,5,Very interested,67,"Loyalty points, Easy returns, Hygiene guarantee, Quality vetting"
23,Female,Other,3393,Other,Rarely,128,"Boho, Casual","YouTube, Pinterest",Yes,"Affordability, Unique pieces, Brand access","Shipping hassle, None",3,Definitely,Maybe if anonymised,4,1,Somewhat,43,"Hygiene guarantee, Loyalty points, Quality vetting, Easy returns"
43,Male,Middle East,9057,Homemaker,Monthly,181,"Sporty, Minimalist, Vintage","Pinterest, TikTok, Blogs",Yes,"Story value, Affordability, Sustainability","Hygiene, None, Sizing fit",3,Maybe,Yes,5,4,Neutral,35,"Easy returns, Stylist chat"
27,Female,Australia/NZ,9915,Retail/Service,Weekly,10,"Formal, Streetwear","Pinterest, Instagram, YouTube",Yes,Brand access,Hygiene,3,Maybe,Yes,4,3,Somewhat,51,"Loyalty points, Hygiene guarantee"
54,Male,Australia/NZ,3876,Professional,Monthly,141,"Streetwear, Sporty, Vintage","Blogs, IRL friends, Instagram",Occasionally,Story value,Hygiene,3,No,Maybe if anonymised,3,3,Somewhat,55,"Loyalty points, Stylist chat, Easy returns"
39,Male,North America,3463,Retail/Service,Monthly,131,"Formal, Boho",YouTube,No,Sustainability,"Sizing fit, Authenticity, Shipping hassle",2,Definitely,Yes,5,3,Very interested,46,"Hygiene guarantee, Quality vetting"
29,Female,Australia/NZ,3089,Homemaker,Monthly,58,"Casual, Streetwear, Formal","Pinterest, Blogs, Instagram",Occasionally,"Brand access, Unique pieces, Story value","Authenticity, None",3,Definitely,Maybe if anonymised,4,2,Not interested,5,"Stylist chat, Loyalty points"
18,Male,Europe,3426,Homemaker,Monthly,163,"Sporty, Formal, Minimalist","Blogs, YouTube, TikTok",Yes,"Unique pieces, Sustainability, Story value","Shipping hassle, Hygiene, Sizing fit",1,Definitely,Yes,3,4,Very interested,66,"Easy returns, Quality vetting, Hygiene guarantee"
28,Male,Europe,8808,Professional,Weekly,83,"Sporty, Vintage","YouTube, IRL friends",Yes,Sustainability,"Hygiene, None",3,Definitely,Maybe if anonymised,4,4,Somewhat,49,"Loyalty points, Hygiene guarantee, Quality vetting"
38,Male,Asia,3942,Professional,Quarterly,136,Boho,"TikTok, Pinterest, Instagram",No,"Affordability, Sustainability, Unique pieces","None, Sizing fit, Shipping hassle",5,Definitely,Yes,4,5,Somewhat,38,"Easy returns, Quality vetting, Stylist chat, Loyalty points"
23,Female,North America,9498,Homemaker,Monthly,259,"Boho, Streetwear, Vintage",YouTube,Yes,Sustainability,Shipping hassle,4,No,Yes,5,4,Very interested,52,"Loyalty points, Hygiene guarantee"
44,Male,Europe,7212,Other,Weekly,176,"Minimalist, Sporty, Casual",Instagram,No,Brand access,"Authenticity, None",5,Definitely,Maybe if anonymised,5,2,Somewhat,41,"Quality vetting, Hygiene guarantee"
29,Female,Asia,6088,Professional,Weekly,114,"Minimalist, Formal, Casual","Pinterest, Blogs",No,"Story value, Affordability",Sizing fit,4,Maybe,Maybe if anonymised,4,3,Somewhat,44,"Easy returns, Hygiene guarantee"
24,Male,North America,4297,Professional,Monthly,195,"Streetwear, Minimalist, Boho","YouTube, TikTok, Pinterest",No,Sustainability,Sizing fit,5,Definitely,Yes,4,5,Somewhat,40,"Easy returns, Hygiene guarantee, Quality vetting, Stylist chat"
23,Female,Europe,2441,Professional,Weekly,187,"Casual, Sporty, Vintage","YouTube, IRL friends, Pinterest",Yes,"Brand access, Affordability","Authenticity, Shipping hassle, Sizing fit",2,Maybe,Yes,4,4,Not interested,16,"Stylist chat, Easy returns, Quality vetting"
23,Male,North America,5989,Homemaker,Monthly,184,Vintage,Pinterest,No,Story value,None,4,Definitely,Maybe if anonymised,5,3,Neutral,55,"Quality vetting, Loyalty points"
21,Female,Asia,13172,Professional,Quarterly,140,"Casual, Boho","Instagram, TikTok, YouTube",Occasionally,"Story value, Unique pieces, Brand access","Shipping hassle, Hygiene, Sizing fit",2,Definitely,Yes,3,3,Very interested,49,"Loyalty points, Hygiene guarantee, Quality vetting"
35,Female,Asia,2446,Professional,Rarely,199,Sporty,Blogs,Yes,Unique pieces,Hygiene,4,Definitely,No,4,4,Very interested,88,"Loyalty points, Hygiene guarantee"
20,Male,Australia/NZ,3803,Homemaker,Monthly,89,Casual,YouTube,Occasionally,"Brand access, Story value","Sizing fit, Hygiene, None",4,Definitely,Yes,5,3,Very interested,47,"Stylist chat, Easy returns, Hygiene guarantee"
41,Non-binary,North America,7874,Homemaker,Rarely,118,"Sporty, Vintage, Boho","IRL friends, Instagram",Yes,"Unique pieces, Sustainability","Hygiene, Sizing fit",4,Definitely,Yes,4,3,Somewhat,28,"Quality vetting, Stylist chat, Loyalty points"
39,Male,Other,7418,Student,Quarterly,128,"Minimalist, Formal, Streetwear","Pinterest, IRL friends, Instagram",No,"Story value, Sustainability, Unique pieces","Sizing fit, Shipping hassle, Hygiene",5,No,Yes,3,2,Somewhat,108,"Stylist chat, Easy returns"
18,Female,Australia/NZ,3854,Student,Weekly,169,Casual,"IRL friends, Pinterest",No,"Affordability, Story value","Sizing fit, Shipping hassle",3,Definitely,Yes,3,3,Not interested,59,"Hygiene guarantee, Loyalty points, Quality vetting, Stylist chat"
30,Female,Europe,6282,Student,Weekly,86,"Formal, Boho, Vintage","Pinterest, IRL friends, Blogs",No,"Affordability, Unique pieces","Hygiene, Authenticity",1,Maybe,Yes,3,3,Not interested,66,Easy returns
41,Male,Middle East,4724,Retail/Service,Rarely,68,Boho,"IRL friends, Blogs, Instagram",No,"Affordability, Unique pieces, Story value",Sizing fit,5,Definitely,Maybe if anonymised,3,1,Somewhat,92,"Hygiene guarantee, Easy returns, Quality vetting"
24,Female,Asia,13158,Other,Monthly,175,"Boho, Casual","Pinterest, Instagram",Occasionally,Story value,Hygiene,2,Definitely,Yes,4,5,Somewhat,92,Easy returns
19,Female,Asia,7373,Professional,Weekly,83,"Minimalist, Sporty",TikTok,No,"Sustainability, Unique pieces, Story value","Shipping hassle, None, Authenticity",4,Definitely,Yes,5,5,Very interested,49,"Loyalty points, Stylist chat, Hygiene guarantee, Quality vetting"
22,Male,Middle East,3561,Professional,Monthly,143,"Sporty, Vintage","YouTube, TikTok",Yes,"Sustainability, Story value, Brand access","Hygiene, None, Sizing fit",4,No,No,4,2,Very interested,48,"Quality vetting, Easy returns, Loyalty points, Hygiene guarantee"
30,Female,Europe,14114,Homemaker,Quarterly,108,"Vintage, Boho","Instagram, TikTok, Blogs",No,Story value,"Shipping hassle, Sizing fit, Hygiene",3,Definitely,Yes,4,3,Very interested,33,"Stylist chat, Hygiene guarantee"
33,Male,Europe,4929,Professional,Weekly,179,"Streetwear, Minimalist, Boho",Instagram,Yes,"Sustainability, Affordability",Authenticity,4,Maybe,Yes,4,2,Neutral,56,"Easy returns, Loyalty points, Quality vetting, Stylist chat"
35,Male,Europe,7512,Professional,Monthly,29,"Boho, Formal","Blogs, YouTube",No,Affordability,"None, Hygiene",2,Maybe,Maybe if anonymised,4,3,Somewhat,63,"Quality vetting, Stylist chat"
24,Male,Europe,2760,Homemaker,Monthly,139,Formal,"Pinterest, IRL friends, TikTok",No,"Story value, Sustainability, Unique pieces","None, Shipping hassle",3,Definitely,Yes,5,4,Very interested,60,Loyalty points
18,Female,North America,6050,Retail/Service,Monthly,94,Vintage,"IRL friends, Pinterest, YouTube",Yes,"Brand access, Unique pieces, Affordability","None, Authenticity",4,Definitely,Maybe if anonymised,3,2,Very interested,54,"Easy returns, Stylist chat"
18,Female,Asia,7796,Professional,Monthly,145,"Sporty, Boho, Vintage","Instagram, Pinterest",Yes,"Story value, Brand access, Affordability","None, Shipping hassle",4,Definitely,Maybe if anonymised,3,5,Somewhat,35,"Stylist chat, Easy returns, Hygiene guarantee, Quality vetting"
29,Female,Europe,5870,Student,Monthly,157,"Formal, Streetwear",YouTube,No,"Unique pieces, Story value",Hygiene,4,Definitely,Maybe if anonymised,3,4,Very interested,48,"Easy returns, Hygiene guarantee, Loyalty points, Quality vetting"
31,Male,Europe,12867,Homemaker,Weekly,217,Vintage,"Pinterest, Blogs",Yes,Story value,"Sizing fit, Authenticity",2,Definitely,Maybe if anonymised,5,5,Not interested,15,"Stylist chat, Hygiene guarantee, Easy returns"
31,Male,Asia,7535,Professional,Monthly,10,Streetwear,Pinterest,Yes,"Unique pieces, Story value",Hygiene,5,Definitely,Maybe if anonymised,4,2,Somewhat,33,"Hygiene guarantee, Easy returns"
30,Male,Europe,6846,Homemaker,Quarterly,84,Boho,"YouTube, Pinterest",Yes,Unique pieces,"None, Shipping hassle",4,No,Maybe if anonymised,3,5,Somewhat,53,"Quality vetting, Hygiene guarantee, Loyalty points"
18,Female,Middle East,6891,Student,Weekly,86,"Sporty, Minimalist, Boho",YouTube,Occasionally,"Affordability, Sustainability, Brand access","None, Shipping hassle",5,Definitely,Yes,3,4,Somewhat,27,"Loyalty points, Stylist chat"
29,Male,Asia,4442,Professional,Monthly,138,Streetwear,IRL friends,No,Brand access,"Hygiene, Sizing fit, None",4,Definitely,Maybe if anonymised,4,2,Neutral,76,"Easy returns, Stylist chat"
26,Non-binary,Australia/NZ,3275,Professional,Rarely,141,Boho,"YouTube, Pinterest",Occasionally,"Unique pieces, Story value, Sustainability",Authenticity,3,Definitely,Maybe if anonymised,5,4,Neutral,44,"Easy returns, Quality vetting"
34,Female,Europe,5392,Professional,Quarterly,187,Formal,Blogs,Yes,Unique pieces,"Sizing fit, Hygiene",1,Maybe,Maybe if anonymised,4,3,Very interested,21,Stylist chat
33,Female,North America,4166,Professional,Rarely,95,Boho,"Pinterest, Blogs, TikTok",Occasionally,Story value,"Shipping hassle, Sizing fit",3,Definitely,Maybe if anonymised,3,3,Somewhat,40,Easy returns
35,Male,Europe,6816,Student,Monthly,115,"Boho, Vintage, Minimalist","YouTube, Blogs, TikTok",Yes,"Unique pieces, Brand access","Sizing fit, Shipping hassle",1,Maybe,No,3,4,Very interested,29,"Hygiene guarantee, Easy returns"
18,Female,Africa,6555,Student,Quarterly,128,"Boho, Streetwear","Pinterest, YouTube",No,"Brand access, Story value, Unique pieces","Shipping hassle, Hygiene, Sizing fit",4,No,Maybe if anonymised,3,4,Somewhat,82,"Quality vetting, Loyalty points, Stylist chat, Easy returns"
23,Female,North America,5377,Homemaker,Quarterly,208,"Boho, Sporty, Casual","Instagram, Pinterest",Yes,Affordability,Authenticity,3,Definitely,Maybe if anonymised,5,1,Somewhat,40,"Loyalty points, Hygiene guarantee, Stylist chat"
18,Male,Europe,9737,Creative,Monthly,164,"Casual, Vintage",Pinterest,No,"Story value, Brand access","Hygiene, Authenticity",4,Definitely,Yes,4,2,Not interested,62,"Easy returns, Stylist chat, Quality vetting"
27,Female,North America,11702,Creative,Monthly,156,"Sporty, Vintage",YouTube,Yes,Story value,"Hygiene, Sizing fit",2,Definitely,Maybe if anonymised,5,4,Somewhat,33,"Easy returns, Loyalty points, Hygiene guarantee"
31,Male,North America,1837,Professional,Monthly,171,Boho,"YouTube, Blogs, IRL friends",No,Sustainability,None,5,Definitely,No,3,3,Somewhat,42,"Stylist chat, Quality vetting"
26,Male,Australia/NZ,9170,Professional,Rarely,115,Minimalist,"IRL friends, Instagram",Occasionally,"Unique pieces, Sustainability, Affordability",Authenticity,5,Definitely,Yes,4,4,Very interested,39,"Stylist chat, Hygiene guarantee, Easy returns, Loyalty points"
35,Male,North America,2947,Student,Monthly,218,Streetwear,Instagram,Yes,"Brand access, Unique pieces",Authenticity,4,Definitely,Maybe if anonymised,2,3,Very interested,73,"Easy returns, Stylist chat, Quality vetting"
35,Female,Asia,6045,Professional,Rarely,184,Casual,"IRL friends, Blogs",Yes,Brand access,Shipping hassle,3,Maybe,Maybe if anonymised,3,4,Somewhat,21,"Easy returns, Stylist chat"
26,Male,Europe,3759,Creative,Quarterly,172,"Streetwear, Casual",Instagram,Yes,"Unique pieces, Story value",Shipping hassle,3,Maybe,Maybe if anonymised,3,5,Neutral,5,"Quality vetting, Hygiene guarantee, Loyalty points"
20,Female,North America,10452,Student,Monthly,84,Vintage,"IRL friends, Blogs, TikTok",Yes,"Unique pieces, Story value, Brand access",Shipping hassle,5,Definitely,Yes,2,5,Neutral,58,"Loyalty points, Easy returns"
35,Male,Asia,12338,Student,Rarely,133,Vintage,"YouTube, Blogs, Pinterest",Yes,Affordability,Hygiene,2,Definitely,No,1,4,Very interested,22,"Hygiene guarantee, Easy returns, Stylist chat, Loyalty points"
36,Non-binary,Europe,6081,Professional,Monthly,240,"Boho, Sporty","Pinterest, TikTok, Blogs",Yes,Story value,"Shipping hassle, None",1,Definitely,Yes,3,3,Very interested,26,"Loyalty points, Hygiene guarantee, Quality vetting"
44,Non-binary,Asia,4023,Student,Weekly,57,"Formal, Casual, Sporty",Blogs,Occasionally,"Affordability, Brand access, Sustainability","Hygiene, Sizing fit, Authenticity",4,Definitely,Maybe if anonymised,4,4,Not interested,58,"Loyalty points, Stylist chat"
24,Female,North America,7355,Homemaker,Monthly,19,Minimalist,"Pinterest, Blogs",Yes,Story value,None,2,Definitely,Yes,3,5,Somewhat,71,"Loyalty points, Quality vetting, Easy returns, Hygiene guarantee"
34,Male,North America,6571,Creative,Monthly,100,Boho,YouTube,Occasionally,"Unique pieces, Brand access, Sustainability","Authenticity, Hygiene, Shipping hassle",4,No,No,5,3,Neutral,41,"Easy returns, Quality vetting"
28,Female,Middle East,8102,Retail/Service,Quarterly,60,"Casual, Sporty","YouTube, Instagram, Pinterest",Yes,"Story value, Brand access, Affordability",None,2,Definitely,Maybe if anonymised,1,2,Somewhat,94,"Stylist chat, Loyalty points, Hygiene guarantee, Easy returns"
33,Male,Europe,4242,Creative,Monthly,82,Streetwear,Instagram,No,"Unique pieces, Affordability, Brand access",Shipping hassle,1,Definitely,Maybe if anonymised,1,1,Somewhat,54,"Easy returns, Loyalty points, Quality vetting"
35,Female,Asia,5142,Professional,Monthly,51,"Boho, Sporty, Vintage",IRL friends,Yes,Unique pieces,Hygiene,4,Maybe,Yes,3,4,Somewhat,33,"Stylist chat, Hygiene guarantee, Loyalty points, Quality vetting"
20,Female,North America,19591,Creative,Rarely,173,"Vintage, Streetwear",YouTube,Yes,"Sustainability, Brand access, Unique pieces","Authenticity, Sizing fit",4,Definitely,Yes,4,5,Somewhat,58,"Easy returns, Quality vetting"
23,Female,Australia/NZ,4788,Professional,Monthly,73,"Minimalist, Formal","IRL friends, Pinterest",Yes,Sustainability,Shipping hassle,3,Maybe,Yes,2,5,Very interested,83,"Stylist chat, Hygiene guarantee"
21,Female,North America,9807,Professional,Weekly,95,Sporty,Blogs,No,Affordability,Shipping hassle,4,No,Yes,5,3,Neutral,45,"Easy returns, Stylist chat"
21,Female,North America,5063,Professional,Weekly,150,"Sporty, Boho",Blogs,Occasionally,"Sustainability, Affordability, Brand access","None, Hygiene",4,No,Maybe if anonymised,5,2,Somewhat,24,"Easy returns, Loyalty points"
24,Female,North America,6972,Creative,Quarterly,140,"Minimalist, Boho",Pinterest,Occasionally,"Sustainability, Unique pieces",None,5,Maybe,Maybe if anonymised,3,3,Very interested,68,Quality vetting
30,Male,North America,3458,Professional,Rarely,139,"Casual, Boho","TikTok, IRL friends",Occasionally,Affordability,Authenticity,5,Definitely,No,4,4,Somewhat,49,"Loyalty points, Hygiene guarantee, Stylist chat"
22,Female,Asia,6894,Creative,Quarterly,158,"Streetwear, Sporty","TikTok, Instagram",No,"Story value, Affordability","Sizing fit, Authenticity, Hygiene",4,Maybe,Maybe if anonymised,4,4,Somewhat,98,Hygiene guarantee
23,Female,Middle East,4985,Student,Monthly,162,"Streetwear, Formal, Boho",Instagram,No,"Affordability, Story value, Brand access",Sizing fit,4,Definitely,No,4,2,Somewhat,34,"Hygiene guarantee, Loyalty points, Stylist chat, Quality vetting"
34,Male,North America,4359,Homemaker,Monthly,138,"Formal, Vintage","YouTube, Instagram, IRL friends",Yes,"Sustainability, Unique pieces",Sizing fit,2,Maybe,Maybe if anonymised,3,3,Very interested,33,"Quality vetting, Hygiene guarantee, Loyalty points, Stylist chat"
35,Male,Asia,10811,Student,Monthly,69,"Casual, Streetwear",IRL friends,No,"Story value, Sustainability","Authenticity, Shipping hassle, Sizing fit",5,Definitely,No,4,1,Neutral,36,"Easy returns, Stylist chat, Quality vetting, Loyalty points"
28,Female,North America,3878,Retail/Service,Weekly,70,Boho,Blogs,No,Affordability,"None, Sizing fit",3,Maybe,Maybe if anonymised,3,3,Very interested,57,Quality vetting
32,Female,North America,5452,Other,Monthly,57,"Sporty, Minimalist, Vintage","IRL friends, Blogs, YouTube",No,Unique pieces,None,1,Definitely,Maybe if anonymised,5,5,Very interested,69,Quality vetting
21,Female,Asia,4640,Homemaker,Quarterly,78,"Vintage, Streetwear",TikTok,No,"Story value, Unique pieces","Authenticity, Hygiene",5,Definitely,Yes,4,4,Somewhat,79,Loyalty points
39,Male,North America,2878,Professional,Monthly,80,"Minimalist, Boho, Vintage","Pinterest, IRL friends, Instagram",Yes,"Unique pieces, Story value",None,1,Definitely,Maybe if anonymised,5,3,Somewhat,31,"Easy returns, Hygiene guarantee, Loyalty points, Quality vetting"
20,Male,Europe,9166,Retail/Service,Weekly,113,"Vintage, Streetwear, Boho","IRL friends, YouTube",Yes,Unique pieces,Hygiene,1,Maybe,Yes,4,3,Somewhat,66,Hygiene guarantee
30,Female,Europe,3933,Professional,Quarterly,77,Minimalist,"YouTube, Instagram",No,"Affordability, Sustainability","Authenticity, Shipping hassle",5,Maybe,Yes,3,3,Not interested,40,"Hygiene guarantee, Quality vetting, Easy returns, Loyalty points"
27,Female,North America,9084,Professional,Monthly,28,Minimalist,IRL friends,No,"Affordability, Story value","Sizing fit, Authenticity, Hygiene",3,No,Maybe if anonymised,4,1,Somewhat,66,"Quality vetting, Stylist chat, Loyalty points"
35,Male,North America,7398,Student,Weekly,134,Boho,"Instagram, YouTube, Blogs",Yes,"Affordability, Unique pieces, Story value","Sizing fit, Shipping hassle, Hygiene",1,Maybe,Maybe if anonymised,4,5,Neutral,67,Quality vetting
27,Female,Africa,6347,Professional,Rarely,76,Sporty,YouTube,No,Sustainability,"Sizing fit, Authenticity",3,Maybe,Maybe if anonymised,3,4,Somewhat,33,"Loyalty points, Easy returns"
31,Female,Australia/NZ,6307,Creative,Monthly,198,"Vintage, Streetwear","Instagram, Pinterest, YouTube",Yes,Affordability,"Sizing fit, None",5,No,Yes,3,4,Somewhat,34,"Hygiene guarantee, Quality vetting, Loyalty points, Stylist chat"
34,Female,Europe,4707,Professional,Quarterly,133,"Boho, Sporty","TikTok, Blogs, Instagram",No,"Brand access, Affordability, Story value","Shipping hassle, Authenticity, Sizing fit",5,Definitely,No,3,4,Somewhat,15,"Stylist chat, Hygiene guarantee"
18,Female,Australia/NZ,8936,Professional,Monthly,143,Boho,YouTube,Occasionally,Story value,"Authenticity, None, Shipping hassle",5,Definitely,Maybe if anonymised,5,4,Very interested,33,Easy returns
18,Male,Europe,4505,Retail/Service,Weekly,107,"Boho, Sporty","Blogs, YouTube",Yes,Story value,"None, Hygiene, Sizing fit",3,Definitely,Maybe if anonymised,3,5,Somewhat,43,Easy returns
34,Male,Middle East,4866,Professional,Weekly,204,Vintage,Pinterest,Occasionally,"Story value, Sustainability","Authenticity, Shipping hassle",4,Maybe,Maybe if anonymised,3,1,Somewhat,86,Stylist chat
18,Female,Australia/NZ,4830,Professional,Weekly,88,"Sporty, Casual","TikTok, Blogs, YouTube",Yes,Story value,Authenticity,5,Definitely,Maybe if anonymised,4,3,Neutral,22,"Loyalty points, Stylist chat"
26,Female,Africa,3882,Professional,Monthly,43,"Vintage, Sporty","Instagram, Pinterest, Blogs",Yes,Unique pieces,"Shipping hassle, Sizing fit, Authenticity",5,Definitely,Yes,3,5,Neutral,20,"Quality vetting, Easy returns, Hygiene guarantee, Loyalty points"
22,Female,Asia,4106,Professional,Weekly,62,Minimalist,Blogs,No,"Affordability, Unique pieces, Sustainability","Sizing fit, Authenticity, None",1,Definitely,Maybe if anonymised,4,3,Very interested,53,"Loyalty points, Quality vetting, Easy returns, Hygiene guarantee"
33,Female,Europe,7251,Professional,Monthly,135,"Streetwear, Minimalist",Instagram,Occasionally,"Unique pieces, Brand access",Hygiene,5,Definitely,No,1,4,Neutral,5,"Loyalty points, Quality vetting, Easy returns, Hygiene guarantee"
28,Non-binary,Other,5608,Student,Monthly,202,Minimalist,"IRL friends, YouTube, Pinterest",No,Story value,Authenticity,4,Definitely,Yes,5,4,Neutral,5,"Hygiene guarantee, Easy returns, Stylist chat, Loyalty points"
21,Female,North America,5262,Student,Quarterly,109,"Minimalist, Sporty, Boho","IRL friends, Instagram",Yes,"Story value, Unique pieces, Brand access",Sizing fit,4,Definitely,Yes,3,4,Somewhat,75,"Stylist chat, Quality vetting"
23,Male,Australia/NZ,6699,Student,Monthly,93,Minimalist,"Blogs, TikTok",Yes,Unique pieces,None,2,Definitely,No,5,2,Not interested,23,Stylist chat
21,Female,Africa,2047,Student,Weekly,147,"Vintage, Streetwear",Blogs,Yes,"Story value, Affordability","Sizing fit, None",1,No,Yes,5,4,Not interested,105,"Loyalty points, Hygiene guarantee"
29,Female,Europe,5391,Homemaker,Weekly,34,"Casual, Vintage, Boho",TikTok,Yes,"Unique pieces, Brand access, Affordability","Shipping hassle, Authenticity, Sizing fit",5,Maybe,Maybe if anonymised,4,4,Very interested,43,"Quality vetting, Hygiene guarantee, Easy returns"
30,Male,Europe,7823,Professional,Monthly,117,"Boho, Streetwear",Pinterest,No,Affordability,None,4,Definitely,Maybe if anonymised,3,4,Very interested,31,"Loyalty points, Hygiene guarantee, Easy returns, Stylist chat"
32,Male,Other,12223,Professional,Quarterly,123,"Boho, Formal, Casual","Instagram, TikTok",Yes,"Affordability, Brand access, Unique pieces","Sizing fit, Shipping hassle",3,Definitely,Maybe if anonymised,4,2,Neutral,42,"Hygiene guarantee, Loyalty points, Easy returns"
38,Male,Africa,11692,Creative,Monthly,117,"Sporty, Casual",IRL friends,Yes,"Brand access, Story value",Sizing fit,5,Definitely,Yes,3,3,Not interested,51,"Hygiene guarantee, Stylist chat, Quality vetting"
23,Female,North America,8469,Professional,Quarterly,95,"Minimalist, Streetwear","IRL friends, Instagram",No,Affordability,Hygiene,3,Definitely,No,5,5,Not interested,83,Quality vetting
28,Non-binary,Australia/NZ,6276,Professional,Monthly,192,"Boho, Minimalist",YouTube,No,"Sustainability, Affordability, Unique pieces","Sizing fit, Authenticity, Shipping hassle",3,Maybe,Maybe if anonymised,4,4,Neutral,49,"Quality vetting, Easy returns, Stylist chat, Hygiene guarantee"
24,Female,Asia,2655,Retail/Service,Monthly,67,Formal,"Pinterest, Instagram",Yes,Affordability,None,2,Definitely,Maybe if anonymised,4,1,Somewhat,53,"Stylist chat, Loyalty points, Easy returns"
36,Female,North America,2914,Retail/Service,Weekly,58,Streetwear,"Blogs, IRL friends, Instagram",Occasionally,"Sustainability, Brand access, Unique pieces","Authenticity, Shipping hassle, Hygiene",3,Maybe,Yes,1,4,Very interested,85,"Loyalty points, Easy returns, Hygiene guarantee, Quality vetting"
26,Prefer not to say,North America,7815,Professional,Monthly,37,Formal,"Pinterest, Instagram",Occasionally,"Story value, Sustainability, Unique pieces","Shipping hassle, Hygiene",3,Definitely,Maybe if anonymised,4,5,Very interested,28,Quality vetting
28,Female,Middle East,9497,Other,Quarterly,82,"Sporty, Casual","TikTok, Pinterest, Blogs",Yes,"Sustainability, Story value","Authenticity, Sizing fit, Hygiene",3,Definitely,No,5,1,Very interested,34,"Easy returns, Hygiene guarantee, Stylist chat"
40,Female,Middle East,2484,Retail/Service,Monthly,186,"Streetwear, Boho","Pinterest, TikTok, Blogs",No,"Brand access, Sustainability, Affordability",Authenticity,4,Definitely,Yes,5,3,Somewhat,102,Quality vetting
37,Male,Australia/NZ,9079,Retail/Service,Rarely,191,"Vintage, Formal","Instagram, IRL friends",Occasionally,"Sustainability, Unique pieces, Affordability","None, Sizing fit, Shipping hassle",2,Definitely,Yes,3,3,Somewhat,63,"Easy returns, Quality vetting, Loyalty points, Stylist chat"
34,Male,Africa,9312,Professional,Weekly,10,"Boho, Formal, Casual",TikTok,No,Affordability,"Hygiene, Sizing fit, Shipping hassle",4,No,Maybe if anonymised,4,1,Somewhat,23,"Stylist chat, Easy returns"
40,Female,Middle East,7949,Retail/Service,Monthly,172,Streetwear,IRL friends,Yes,Brand access,"Hygiene, None",1,Maybe,Yes,2,2,Somewhat,54,"Loyalty points, Quality vetting, Easy returns, Hygiene guarantee"
19,Female,North America,8498,Professional,Monthly,131,"Casual, Streetwear","TikTok, YouTube",Occasionally,"Unique pieces, Brand access, Story value",Shipping hassle,4,No,Yes,2,5,Not interested,20,"Quality vetting, Hygiene guarantee"
36,Male,Europe,10018,Retail/Service,Monthly,84,"Vintage, Minimalist, Casual",YouTube,No,"Affordability, Sustainability","Authenticity, Shipping hassle",3,Maybe,No,3,3,Very interested,52,Hygiene guarantee
35,Female,Australia/NZ,2856,Student,Monthly,168,"Casual, Streetwear","Instagram, IRL friends, TikTok",Yes,"Unique pieces, Story value","Authenticity, Shipping hassle, None",3,Definitely,No,3,3,Not interested,121,"Stylist chat, Hygiene guarantee, Quality vetting, Loyalty points"
